rowid,timestamp,version,provider,spec,ref,origin,repo,resolved_ref,org
371539,2020-06-02T17:52:00+00:00,3,GitHub,deathbeds/jupyterlab-literallycanvas/master,master,gke.mybinder.org,deathbeds/jupyterlab-literallycanvas,,deathbeds
376920,2020-06-01T00:32:00+00:00,3,GitHub,deathbeds/wxyz/master,master,gesis.mybinder.org,deathbeds/wxyz,,deathbeds
378382,2020-06-01T03:18:00+00:00,3,GitHub,bollwyvl/jupyterlab-starters/add-rjsf2,add-rjsf2,gesis.mybinder.org,bollwyvl/jupyterlab-starters,,bollwyvl
396223,2020-06-01T20:59:00+00:00,3,GitHub,bollwyvl/jupyterlab-lsp/add-traitlets-proxy,add-traitlets-proxy,gesis.mybinder.org,bollwyvl/jupyterlab-lsp,,bollwyvl
398194,2020-06-01T23:46:00+00:00,3,GitHub,deathbeds/wxyz/feat-json-schema-form,feat-json-schema-form,gesis.mybinder.org,deathbeds/wxyz,,deathbeds
398195,2020-06-01T23:46:00+00:00,3,GitHub,deathbeds/wxyz/feat-json-schema-form,feat-json-schema-form,gesis.mybinder.org,deathbeds/wxyz,,deathbeds
402537,2020-05-31T07:49:00+00:00,3,GitHub,bollwyvl/jupyterlab-outsource/feat/robot,robot,gesis.mybinder.org,bollwyvl/jupyterlab-outsource/feat,,bollwyvl
404090,2020-05-31T09:41:00+00:00,3,Gist,tonyfast/26dc917693ec170b39d4436956006f82/master,master,gke.mybinder.org,tonyfast/26dc917693ec170b39d4436956006f82,,tonyfast
408045,2020-05-31T14:03:00+00:00,3,GitHub,deathbeds/jupyterlab-literallycanvas/master,master,gesis.mybinder.org,deathbeds/jupyterlab-literallycanvas,,deathbeds
413073,2020-05-31T19:27:00+00:00,3,Gist,bollwyvl/d5a120156216797c7132/master,master,gke.mybinder.org,bollwyvl/d5a120156216797c7132,,bollwyvl
413093,2020-05-31T19:29:00+00:00,3,GitHub,bollwyvl/jupyterlab-lsp/add-azure-pipelines,add-azure-pipelines,gesis.mybinder.org,bollwyvl/jupyterlab-lsp,,bollwyvl
418613,2020-05-30T04:51:00+00:00,3,GitHub,bollwyvl/jupyterlab-starters/add-rjsf2,add-rjsf2,gesis.mybinder.org,bollwyvl/jupyterlab-starters,,bollwyvl
419209,2020-05-30T05:49:00+00:00,3,GitHub,deathbeds/jupyterlab-literallycanvas/master,master,gesis.mybinder.org,deathbeds/jupyterlab-literallycanvas,,deathbeds
